Date,Volume,Volume_std,Index_ROC,Close,close_std_sp500-F,close_m_sp500-F
2012-11-12,1138665,-0.255901981,0.18,1378.25,-0.449288725,27.565
2012-11-13,1950603,0.726620473,-0.53,1371,-0.458181215,27.42
2012-11-14,2448722,1.329391992,-1.31,1353,-0.480259121,27.06
2012-11-15,2416674,1.290610854,-0.13,1351.25,-0.482405584,27.025
2012-11-16,2605521,1.519133744,0.63,1359.75,-0.471979906,27.195
2012-11-19,1741462,0.473539907,1.67,1382.5,-0.444075886,27.65
2012-11-20,1548714,0.240296435,0.27,1386.25,-0.439476322,27.725
2012-11-21,1068642,-0.340636492,0.14,1388.25,-0.437023221,27.765
2012-11-26,1220715,-0.156613652,1.08,1403.25,-0.418624966,28.065
2012-11-27,1639215,0.349811281,-0.41,1397.5,-0.425677631,27.95
2012-11-28,2128449,0.941831102,0.68,1407,-0.414025402,28.14
2012-11-29,1877829,0.638556989,0.62,1415.75,-0.403293087,28.315
2012-11-30,1686640,0.407200056,-0.09,1414.5,-0.404826275,28.29
2012-12-3,1652126,0.365434823,-0.53,1407,-0.414025402,28.14
2012-12-4,1619569,0.326037746,-0.11,1405.5,-0.415865228,28.11
2012-12-5,2045099,0.840969649,0.2,1408.25,-0.412492214,28.165
2012-12-6,1382373,0.039007953,0.34,1413,-0.4066661,28.26
2012-12-7,1772166,0.510694677,0.21,1416,-0.402986449,28.32
2012-12-10,1136090,-0.259017977,0.3,1420.25,-0.39777361,28.405
2012-12-11,1772202,0.51073824,0.79,1431.5,-0.383974919,28.63
2012-12-12,1833412,0.584808181,-0.3,1427.25,-0.389187758,28.545
2012-12-13,1950507,0.726504304,-0.65,1418,-0.400533349,28.36
2012-12-14,1043852,-0.370634758,-0.21,1415,-0.404213,28.3
2012-12-17,856691,-0.597117426,1.24,1432.5,-0.382748369,28.65
2012-12-18,875266,-0.574639904,0.92,1445.75,-0.366496577,28.915
2012-12-19,505129,-1.022540992,-0.59,1437.25,-0.376922255,28.745
2012-12-20,343847,-1.217707601,0.57,1445.5,-0.366803214,28.91
2012-12-21,2112856,0.922962085,-1.44,1424.75,-0.392254134,28.495
2012-12-26,578176,-0.934147152,-0.79,1413.5,-0.406052825,28.27
2012-12-27,1470310,0.145420114,-0.19,1410.75,-0.409425839,28.215
2012-12-28,1061849,-0.348856671,-1.9,1384,-0.44223606,27.68
2012-12-31,1480199,0.157386748,2.6,1420,-0.398080248,28.4
2013-1-2,1939767,0.713507879,2.61,1457,-0.352697885,29.14
2013-1-3,1598235,0.30022157,-0.24,1453.5,-0.356990811,29.07
2013-1-4,1514786,0.199240318,0.29,1457.75,-0.351777973,29.155
2013-1-7,1199834,-0.181881654,-0.14,1455.75,-0.354231073,29.115
2013-1-8,1366996,0.020400316,-0.24,1452.25,-0.358523999,29.045
2013-1-9,1193627,-0.189392717,0.24,1455.75,-0.354231073,29.115
2013-1-10,1540850,0.230780245,0.77,1467,-0.340432382,29.34
2013-1-11,1150333,-0.241782588,0.02,1467.25,-0.340125744,29.345
2013-1-14,1168502,-0.219796364,-0.2,1464.25,-0.343805395,29.285
2013-1-15,1324056,-0.031561181,0.07,1465.25,-0.342578845,29.305
2013-1-16,1232690,-0.142122759,0.02,1465.5,-0.342272207,29.31
2013-1-17,1745053,0.477885359,0.7,1475.75,-0.329700066,29.515
2013-1-18,1487277,0.165951803,0.22,1479,-0.325713778,29.58
2013-1-22,1474784,0.150834081,0.71,1489.5,-0.312834999,29.79
2013-1-23,1192172,-0.191153405,0.05,1490.25,-0.311915086,29.805
2013-1-24,1828454,0.578808527,0.1,1491.75,-0.310075261,29.835
2013-1-25,1591858,0.292504792,0.27,1495.75,-0.30516906,29.915
2013-1-28,1206900,-0.17333112,0.08,1497,-0.303635872,29.94
2013-1-29,1500028,0.18138173,0.53,1505,-0.293823469,30.1
2013-1-30,1798387,0.542424588,-0.65,1495.25,-0.305782335,29.905
2013-1-31,1639166,0.349751986,-0.13,1493.25,-0.308235435,29.865
2013-2-1,1779718,0.519833317,0.9,1506.75,-0.291677006,30.135
2013-2-4,1765571,0.502714097,-0.88,1493.5,-0.307928798,29.87
2013-2-5,1741970,0.474154635,0.84,1506,-0.292596919,30.12
2013-2-6,1753717,0.488369626,0.05,1506.75,-0.291677006,30.135
2013-2-7,1960681,0.738815814,-0.1,1505.25,-0.293516831,30.105
2013-2-8,1428025,0.094251229,0.48,1512.5,-0.284624341,30.25
2013-2-11,1229917,-0.145478354,0.03,1513,-0.284011066,30.26
2013-2-12,1258561,-0.110816381,0.21,1516.25,-0.280024778,30.325
2013-2-13,1269215,-0.097924024,0.07,1517.25,-0.278798227,30.345
2013-2-14,1369303,0.023192006,0.08,1518.5,-0.277265039,30.37
2013-2-15,1732853,0.463122195,-0.1,1517,-0.279104865,30.34
2013-2-19,1498369,0.179374181,0.73,1528,-0.265612811,30.56
2013-2-20,2018732,0.809063063,-1.37,1507,-0.291370368,30.14
2013-2-21,2510874,1.404601843,-0.4,1501,-0.29872967,30.02
2013-2-22,1763806,0.500578279,0.9,1514.5,-0.282171241,30.29
2013-2-25,3093507,2.109643367,-1.8,1487.25,-0.315594737,29.745
2013-2-26,2933833,1.916422591,0.35,1492.5,-0.309155348,29.85
2013-2-27,2458935,1.341750697,1.56,1515.75,-0.280638053,30.315
2013-2-28,2199825,1.028202873,-0.16,1513.25,-0.283704429,30.265
2013-3-1,2545008,1.44590724,0.21,1516.5,-0.27971814,30.33
2013-3-4,1980880,0.763258532,0.61,1525.75,-0.268372549,30.515
2013-3-5,2368997,1.232917135,0.74,1537,-0.254573858,30.74
2013-3-6,2091010,0.89652634,0.13,1539,-0.252120757,30.78
2013-3-7,1673556,0.391367167,0.24,1542.75,-0.247521193,30.855
2013-3-8,1136905,-0.258031749,0.44,1549.5,-0.239241979,30.99
2013-3-11,755669,-0.719363686,0.42,1556,-0.231269401,31.12
2013-3-12,795044,-0.671716179,-0.22,1552.5,-0.235562328,31.05
2013-3-13,505430,-1.022176753,0.23,1556,-0.231269401,31.12
2013-3-14,368214,-1.188221206,0.4,1562.25,-0.223603462,31.245
2013-3-15,1699828,0.423158794,-0.06,1561.25,-0.224830012,31.225
2013-3-18,2193099,1.020063771,-0.93,1546.75,-0.242614992,30.935
2013-3-19,2546167,1.44730974,-0.29,1542.25,-0.248134469,30.845
2013-3-20,1802214,0.547055624,0.44,1549,-0.239855254,30.98
2013-3-21,1904151,0.67040912,-0.65,1539,-0.252120757,30.78
2013-3-22,1579747,0.277849326,0.84,1552,-0.236175603,31.04
2013-3-25,2254735,1.094649212,-0.32,1547,-0.242308355,30.94
2013-3-26,1594034,0.29513796,0.66,1557.25,-0.229736214,31.145
2013-3-27,1569031,0.264881944,-0.03,1556.75,-0.230349489,31.135
2013-3-28,1627305,0.335399044,0.39,1562.75,-0.222990187,31.255
2013-4-1,1135817,-0.259348333,-0.43,1556,-0.231269401,31.12
2013-4-2,1609532,0.313892018,0.55,1564.5,-0.220843724,31.29
2013-4-3,2269317,1.112294824,-1.02,1548.5,-0.240468529,30.97
2013-4-4,2004726,0.792114467,0.39,1554.5,-0.233109227,31.09
2013-4-5,2269710,1.112770391,-0.55,1546,-0.243534905,30.92
2013-4-8,1444510,0.114199652,0.86,1559.25,-0.227283113,31.185
2013-4-9,1632380,0.341540278,0.26,1563.25,-0.222376911,31.265
2013-4-10,2034329,0.827936922,1.25,1582.75,-0.19845918,31.655
2013-4-11,1723235,0.451483498,0.32,1587.75,-0.192326428,31.755
2013-4-12,1809731,0.556151911,-0.36,1582,-0.199379093,31.64
2013-4-15,2854380,1.820276879,-2.43,1543.5,-0.246601281,30.87
2013-4-16,2252603,1.092069289,1.64,1568.75,-0.215630885,31.375
2013-4-17,2968750,1.958675492,-1.45,1546,-0.243534905,30.92
2013-4-18,2316865,1.169832441,-0.78,1534,-0.258253509,30.68
2013-4-19,1879483,0.640558487,0.88,1547.5,-0.241695079,30.95
2013-4-22,1594693,0.295935412,0.55,1556,-0.231269401,31.12
2013-4-23,2108112,0.917221392,1.12,1573.5,-0.20980477,31.47
2013-4-24,1421896,0.086834554,0.03,1574,-0.209191495,31.48
2013-4-25,1595167,0.296508998,0.49,1581.75,-0.19968573,31.635
2013-4-26,1335027,-0.018285224,-0.33,1576.5,-0.206125119,31.53
2013-4-29,1234877,-0.139476281,0.75,1588.25,-0.191713153,31.765
2013-4-30,1555013,0.247918826,0.25,1592.25,-0.186806952,31.845
2013-5-1,1467806,0.142390035,-0.94,1577.25,-0.205205207,31.545
2013-5-2,1652820,0.366274629,0.95,1592.25,-0.186806952,31.845
2013-5-3,1936845,0.70997198,1.02,1608.5,-0.166875509,32.17
2013-5-6,963963,-0.467308071,0.31,1613.5,-0.160742757,32.27
2013-5-7,1507222,0.190087156,0.43,1620.5,-0.152156904,32.41
2013-5-8,1593279,0.294224337,0.51,1628.75,-0.142037864,32.575
2013-5-9,1825700,0.575475925,-0.26,1624.5,-0.147250703,32.49
2013-5-10,1641619,0.35272035,0.31,1629.5,-0.141117951,32.59
