Date,Volume,Volume_std ,Index_ROC,Close,close_std_sp500_F_mini,close_m_sp500_F_mini
10/4/2019,322583,-0.786069157,1.35,2951,-0.893866986,590.2
10/7/2019,271879,-0.905520711,-0.46,2937.5,-0.918486554,587.5
10/8/2019,437173,-0.516111095,-1.53,2892.5,-1.000551779,578.5
10/9/2019,286742,-0.870505556,0.92,2919,-0.952224479,583.8
10/10/2019,403091,-0.596403535,0.75,2941,-0.912103703,588.2
10/11/2019,349487,-0.722687085,1.01,2970.75,-0.85784947,594.15
10/14/2019,210619,-1.04984073,-0.18,2965.5,-0.867423747,593.1
10/15/2019,229519,-1.005314965,1.09,2997.75,-0.808610335,599.55
10/16/2019,233214,-0.99661006,-0.21,2991.5,-0.820008283,598.3
10/17/2019,250867,-0.955022053,0.22,2998,-0.808154417,599.6
10/18/2019,263667,-0.924867038,-0.33,2988.25,-0.825935216,597.65
10/21/2019,183087,-1.114702283,0.61,3006.5,-0.792653208,601.3
10/22/2019,258327,-0.937447334,-0.4,2994.5,-0.814537268,598.9
10/23/2019,202708,-1.068477942,0.38,3005.75,-0.794020962,601.15
10/24/2019,225499,-1.014785524,-0.05,3004.25,-0.796756469,600.85
10/25/2019,197825,-1.07998161,0.53,3020.25,-0.767577723,604.05
10/28/2019,177810,-1.127134159,0.53,3036.25,-0.738398976,607.25
10/29/2019,204832,-1.063474095,-0.02,3035.75,-0.739310812,607.15
10/30/2019,251594,-0.953309343,0.4,3047.75,-0.717426752,609.55
10/31/2019,339183,-0.746961872,-0.39,3035.75,-0.739310812,607.15
11/1/2019,193991,-1.089013979,0.91,3063.25,-0.689159841,612.65
11/4/2019,174837,-1.134138132,0.41,3075.75,-0.666363945,615.15
11/5/2019,197388,-1.081011121,-0.12,3072,-0.673202713,614.4
11/6/2019,217605,-1.033382688,0.11,3075.5,-0.666819863,615.1
11/7/2019,205063,-1.062929891,0.34,3086,-0.64767131,617.2
11/8/2019,155419,-1.179884233,0.15,3090.5,-0.639464787,618.1
11/11/2019,114085,-1.277261373,-0.1,3087.5,-0.644935803,617.5
11/12/2019,164987,-1.157343359,0.15,3092,-0.63672928,618.4
11/13/2019,203289,-1.067109187,0.11,3095.5,-0.630346429,619.1
11/14/2019,176971,-1.129110726,0.05,3097,-0.627610922,619.4
11/15/2019,156320,-1.177761602,0.69,3118.25,-0.588857899,623.65
11/18/2019,159079,-1.171261783,0.11,3121.75,-0.582475048,624.35
11/19/2019,185564,-1.108866816,-0.1,3118.5,-0.588401981,623.7
11/20/2019,288461,-0.866455831,-0.3,3109,-0.605726862,621.8
11/21/2019,246821,-0.964553865,-0.16,3104,-0.61484522,620.8
11/22/2019,167387,-1.151689293,0.24,3111.5,-0.601167682,622.3
11/25/2019,106466,-1.295210675,0.68,3132.75,-0.562414659,626.55
11/26/2019,147559,-1.198401297,0.35,3143.75,-0.542354271,628.75
11/27/2019,109230,-1.288699076,0.32,3153.75,-0.524117554,630.75
12/2/2019,337301,-0.751395601,-1.25,3114.25,-0.596152585,622.85
12/3/2019,398053,-0.60827236,-0.75,3091,-0.638552952,618.2
12/4/2019,251916,-0.952550756,0.65,3111,-0.602079518,622.2
12/5/2019,263471,-0.925328787,0.22,3117.75,-0.589769734,623.55
12/6/2019,192303,-1.092990672,0.91,3146,-0.53825101,629.2
12/9/2019,159703,-1.169791726,-0.37,3134.5,-0.559223234,626.9
12/10/2019,260448,-0.932450553,0.05,3136,-0.556487726,627.2
12/11/2019,189582,-1.099400968,0.22,3143,-0.543722025,628.6
12/12/2019,382964,-0.64381994,0.8,3168,-0.498130233,633.6
12/13/2019,78098,-1.362041728,0.13,3172,-0.490835546,634.4
12/16/2019,19693,-1.499635764,0.7,3194.25,-0.450258851,638.85
12/17/2019,13568,-1.51406541,-0.07,3192,-0.454362113,638.4
12/18/2019,8339,-1.526384205,0.09,3194.75,-0.449347016,638.95
12/19/2019,7317,-1.528791894,0.38,3207,-0.427007038,641.4
12/20/2019,152944,-1.185714988,0.75,3231.02002,-0.383202408,646.2040039
12/23/2019,88119,-1.338433649,-0.12,3227.25,-0.390077686,645.45
12/26/2019,59828,-1.4050833,0.53,3244.5,-0.35861935,648.9
12/27/2019,151910,-1.188150947,-0.22,3237.5,-0.371385051,647.5
12/30/2019,191801,-1.094173314,-0.43,3223.5,-0.396916455,644.7
12/31/2019,144320,-1.206031929,0.23,3231,-0.383238917,646.2
1/2/2020,178832,-1.124726469,0.87,3259,-0.332176111,651.8
1/3/2020,310875,-0.813651573,-0.72,3235.5,-0.375032395,647.1
1/6/2020,246527,-0.965246488,0.25,3243.5,-0.360443021,648.7
1/7/2020,221754,-1.023608222,-0.25,3235.25,-0.375488313,647.05
1/8/2020,488406,-0.395413291,0.77,3260.25,-0.329896521,652.05
1/9/2020,198451,-1.078506841,0.48,3276,-0.301173692,655.2
1/10/2020,218016,-1.032414429,-0.34,3264.75,-0.321689998,652.95
1/13/2020,156703,-1.176859308,0.77,3289.75,-0.276098207,657.95
1/14/2020,267615,-0.915566101,-0.05,3288,-0.279289632,657.6
1/15/2020,235400,-0.991460149,0.17,3293.75,-0.26880352,658.75
1/16/2020,176499,-1.130222692,0.69,3316.5,-0.227314989,663.3
1/17/2020,172211,-1.140324622,0.26,3325,-0.21181378,665
1/21/2020,262273,-0.928151108,-0.17,3319.5,-0.221843974,663.9
1/22/2020,221789,-1.023525767,0.01,3319.75,-0.221388056,663.95
1/23/2020,349429,-0.722823724,0.19,3326,-0.209990108,665.2
1/24/2020,521297,-0.317926681,-0.98,3293.5,-0.269259438,658.7
1/27/2020,521503,-0.317441373,-1.64,3239.5,-0.367737708,647.9
1/28/2020,349143,-0.723497501,1.2,3278.25,-0.297070431,655.65
1/29/2020,379821,-0.65122441,-0.18,3272.5,-0.307556543,654.5
1/30/2020,541849,-0.269509034,0.53,3289.75,-0.276098207,657.95
1/31/2020,642183,-0.03313612,-2,3224,-0.396004619,644.8
2/3/2020,386183,-0.636236425,0.67,3245.5,-0.356795678,649.1
2/4/2020,356578,-0.705981677,1.66,3299.5,-0.258317408,659.9
2/5/2020,416320,-0.565237855,1.08,3335,-0.193577063,667
2/6/2020,291379,-0.85958143,0.31,3345.25,-0.174884429,669.05
2/7/2020,382351,-0.645264083,-0.59,3325.5,-0.210901944,665.1
2/10/2020,277254,-0.892857961,0.83,3353,-0.160750973,670.6
2/11/2020,281600,-0.882619391,0.13,3357.5,-0.152544451,671.5
2/12/2020,215754,-1.037743386,0.69,3380.5,-0.110600002,676.1
2/13/2020,325469,-0.779270144,-0.09,3377.5,-0.116071017,675.5
2/14/2020,236867,-0.988004101,0.1,3381,-0.109688166,676.2
2/18/2020,333634,-0.760034542,-0.35,3369.25,-0.131116309,673.85
2/19/2020,213909,-1.042089948,0.53,3387.25,-0.098290218,677.45
2/20/2020,554873,-0.238826306,-0.53,3369.25,-0.131116309,673.85
2/21/2020,477927,-0.420100353,-0.89,3339.25,-0.185826459,667.85
2/24/2020,824521,0.396426783,-3.38,3226.25,-0.391901358,645.25
2/25/2020,1152006,1.167935781,-2.91,3132.5,-0.562870577,626.5
2/26/2020,1070134,0.975056764,-0.71,3110.25,-0.603447272,622.05
2/27/2020,1282240,1.474748926,-4.93,2957,-0.882924956,591.4
2/28/2020,1735325,2.54215401,-0.2,2951,-0.893866986,590.2
3/2/2020,946817,0.684539107,3.86,3065,-0.685968415,613
3/3/2020,1096486,1.037138402,-2.22,2997,-0.809978089,599.4
3/4/2020,647060,-0.021646588,3.93,3114.75,-0.595240749,622.95
3/5/2020,718122,0.145765575,-3.19,3015.5,-0.776240163,603.1
3/6/2020,913066,0.605026457,-1.71,2964,-0.870159254,592.8
3/9/2020,806067,0.352951733,-7.3,2747.75,-1.264528254,549.55
3/10/2020,1061592,0.954933004,4.29,2865.75,-1.049334996,573.15
3/11/2020,1109823,1.068558514,-4.38,2740.25,-1.278205791,548.05
3/12/2020,1447148,1.86324918,-9.9,2469,-1.772876733,493.8
3/13/2020,503889,-0.358937501,9.19,2696,-1.358903263,539.2
3/16/2020,190088,-1.098208903,-10.38,2416.25,-1.869075413,483.25
3/17/2020,167283,-1.151934303,3.28,2495.5,-1.724549433,499.1
3/18/2020,95464,-1.321129853,-3.27,2414,-1.873178675,482.8
3/19/2020,101131,-1.307779191,-0.45,2403.25,-1.892783145,480.65
3/20/2020,1626055,2.284729126,1.45,2437.97998,-1.829447063,487.5959961
3/23/2020,1317779,1.558473854,-8.92,2220.5,-2.226059143,444.1
3/24/2020,1057349,0.944937087,9.8,2438,-1.829410554,487.6
3/25/2020,1397589,1.746495086,1.19,2467,-1.776524076,493.4
3/26/2020,1146174,1.154196402,5.72,2608,-1.51938637,521.6
3/27/2020,1022402,0.862606828,-3.22,2524,-1.67257479,504.8
3/30/2020,944238,0.678463343,3.46,2611.25,-1.513459437,522.25
3/31/2020,864900,0.491554077,-1.59,2569.75,-1.589141811,513.95
4/1/2020,884677,0.538145932,-4.74,2448,-1.811173838,489.6
4/2/2020,1060722,0.952883405,2.8,2516.5,-1.686252328,503.3
4/3/2020,823086,0.393046123,-1.34,2482.75,-1.747801247,496.55
4/6/2020,758938,0.24192238,6.51,2644.5,-1.452822354,528.9
4/7/2020,1179264,1.232151828,-0.09,2642,-1.457381533,528.4
4/8/2020,989636,0.785414701,3.52,2735,-1.287780067,547
4/9/2020,1114248,1.078983197,1.64,2779.75,-1.20617076,555.95
4/13/2020,800021,0.3387082,-0.74,2759.25,-1.243556029,551.85
4/14/2020,735110,0.185786934,3.04,2843,-1.090823527,568.6
4/15/2020,861143,0.482703109,-2.39,2775,-1.2148332,555
4/16/2020,960929,0.717785011,0.45,2787.5,-1.192037305,557.5
4/17/2020,958259,0.711494864,2.96,2870,-1.041584391,574
4/20/2020,951288,0.69507216,-2.21,2806.5,-1.157387543,561.3
4/21/2020,1350460,1.635465733,-2.65,2732,-1.293251082,546.4
4/22/2020,844258,0.442924403,2.07,2788.5,-1.190213633,557.7
4/23/2020,1098113,1.040971387,-0.28,2780.75,-1.204347088,556.15
4/24/2020,718259,0.146088328,1.75,2829.5,-1.115443094,565.9
4/27/2020,695131,0.091601985,1.4,2869,-1.043408063,573.8
4/28/2020,974954,0.750825956,-0.06,2867.25,-1.046599489,573.45
4/29/2020,912841,0.604496389,2.57,2941,-0.912103703,588.2
4/30/2020,1134559,1.126833081,-1.31,2902.5,-0.982315062,580.5
5/1/2020,990942,0.788491455,-2.78,2821.75,-1.12957655,564.35
5/4/2020,886987,0.543587969,0.12,2825.25,-1.123193699,565.05
5/5/2020,760646,0.24594619,1.17,2858.25,-1.063012534,571.65
5/6/2020,888865,0.548012276,-0.87,2833.5,-1.108148408,566.7
5/7/2020,833230,0.416943973,1.64,2880,-1.023347675,576
5/8/2020,641598,-0.034514299,1.68,2928.5,-0.934899599,585.7
5/11/2020,801756,0.342795618,-0.2,2922.75,-0.945385711,584.55
5/12/2020,974692,0.75020872,-2.4,2852.5,-1.073498646,570.5
5/13/2020,1541126,2.084648244,-1.38,2813,-1.145533677,562.6
5/14/2020,1353295,1.642144598,1.21,2847,-1.08352884,569.4
5/15/2020,1151670,1.167144212,-0.02,2846.5,-1.084440676,569.3
5/18/2020,768821,0.26520535,3.57,2948,-0.899338001,589.6
5/19/2020,921190,0.624165468,-0.99,2918.75,-0.952680397,583.75
5/20/2020,865157,0.492159533,1.7,2968.5,-0.861952732,593.7
5/21/2020,1079352,0.996773087,-1.06,2937,-0.919398389,587.4
5/22/2020,866849,0.496145649,0.54,2953,-0.890219643,590.6
5/26/2020,1023998,0.866366781,1.41,2994.5,-0.814537268,598.9
5/27/2020,1168154,1.205978217,1.37,3035.5,-0.73976673,607.1
5/28/2020,958717,0.712573848,0.08,3038,-0.73520755,607.6
5/29/2020,1176313,1.225199683,0.13,3042,-0.727912864,608.4
6/1/2020,714753,0.137828681,0.39,3054,-0.706028804,610.8
6/2/2020,764713,0.255527475,0.75,3077,-0.664084355,615.4
6/3/2020,732402,0.179407264,1.32,3117.75,-0.589769734,623.55
6/4/2020,1009461,0.832119636,-0.23,3110.5,-0.602991354,622.1
6/5/2020,1112781,1.07552715,2.45,3186.75,-0.463936389,637.35
6/8/2020,790782,0.316942404,1.28,3227.5,-0.389621768,645.5
6/9/2020,916394,0.612866761,-0.68,3205.5,-0.429742545,641.1
6/10/2020,1203733,1.28979738,-0.61,3186,-0.465304143,637.2
6/11/2020,1888206,2.902320329,-5.52,3010.25,-0.785814439,602.05
6/12/2020,676747,0.048291844,0.81,3034.75,-0.741134483,606.95
6/15/2020,379285,-0.652487151,1.26,3073,-0.671379042,614.6
6/16/2020,261299,-0.930445716,1.81,3128.75,-0.569709346,625.75
6/17/2020,109140,-1.288911104,-0.34,3118,-0.589313816,623.6
6/18/2020,87430,-1.340056837,-0.29,3109,-0.605726862,621.8
6/19/2020,1067306,0.968394391,1.68,3161.26001,-0.510421762,632.252002
6/22/2020,828328,0.405395545,-1.6,3110.75,-0.602535436,622.15
6/23/2020,930977,0.647222276,0.25,3118.5,-0.588401981,623.7
6/24/2020,1389332,1.727042745,-2.23,3049,-0.715147162,609.8
6/25/2020,1062543,0.957173427,0.71,3070.75,-0.675482303,614.15
6/26/2020,1132229,1.121343926,-2.08,3007,-0.791741372,601.4
6/29/2020,894898,0.562225182,1.36,3047.75,-0.717426752,609.55
6/30/2020,844962,0.444582929,1.39,3090.25,-0.639920705,618.05
7/1/2020,870888,0.50566097,0.41,3103,-0.616668892,620.6
7/2/2020,970423,0.740151552,0.84,3129,-0.569253428,625.8
7/6/2020,1089068,1.019662628,1.37,3172,-0.490835546,634.4
7/7/2020,882615,0.533288147,-1.12,3136.5,-0.555575891,627.3
7/8/2020,1139690,1.138921002,0.86,3163.5,-0.506336755,632.7
7/9/2020,1277175,1.462816492,-0.71,3141,-0.547369368,628.2
7/10/2020,1116626,1.084585434,1.19,3178.5,-0.47898168,635.7
7/13/2020,1318497,1.560165362,-0.95,3148.25,-0.534147748,629.65
7/14/2020,1635280,2.30646194,1.12,3183.5,-0.469863322,636.7
7/15/2020,1419635,1.798432388,1.13,3219.5,-0.404211142,643.9
7/16/2020,1073827,0.983756958,-0.78,3194.5,-0.449802933,638.9
7/17/2020,804718,0.349773677,0.61,3214,-0.414241336,642.8
7/20/2020,771885,0.272423707,0.97,3245.25,-0.357251596,649.05
7/21/2020,965242,0.727945838,0.18,3251.25,-0.346309566,650.25
7/22/2020,870907,0.505705732,0.44,3265.5,-0.320322245,653.1
7/23/2020,1187809,1.252282657,-1.16,3227.5,-0.389621768,645.5
7/24/2020,1041284,0.907090187,-0.73,3204,-0.432478053,640.8
7/27/2020,761517,0.247998144,0.88,3232.25,-0.380959328,646.45
7/28/2020,811743,0.366323597,-0.6,3213,-0.416065007,642.6
7/29/2020,659438,0.007514254,1.23,3252.5,-0.344029976,650.5
7/30/2020,1026724,0.872788857,-0.12,3248.75,-0.350868745,649.75
7/31/2020,1170078,1.210510893,0.45,3263.5,-0.323969588,652.7
8/3/2020,549146,-0.25231832,0.77,3288.5,-0.278377796,657.7
8/4/2020,599455,-0.133797331,0.35,3300,-0.257405572,660
8/5/2020,542479,-0.268024842,0.48,3316,-0.228226825,663.2
8/6/2020,741215,0.200169463,0.85,3344.25,-0.1767081,668.85
8/7/2020,909596,0.596851621,0.01,3344.75,-0.175796265,668.95
8/10/2020,661329,0.011969186,0.24,3352.75,-0.161206891,670.55
8/11/2020,974384,0.749483115,-0.68,3330,-0.202695422,666
8/12/2020,866719,0.495839388,1.2,3370,-0.129748555,674
8/13/2020,714190,0.136502331,-0.07,3367.75,-0.133851816,673.55
8/14/2020,665298,0.021319597,-0.19,3361.5,-0.145249764,672.3
8/17/2020,408070,-0.584673705,0.54,3379.75,-0.111967756,675.95
8/18/2020,601229,-0.129618034,0.21,3387,-0.098746136,677.4
8/19/2020,720650,0.151721191,-0.42,3372.75,-0.124733458,674.55
8/20/2020,743300,0.205081432,0.24,3380.75,-0.110144084,676.15
8/21/2020,723095,0.15748127,0.35,3392.5,-0.088715942,678.5
8/24/2020,691359,0.082715679,1.03,3427.5,-0.024887434,685.5
8/25/2020,731804,0.177998459,0.45,3443,0.003379477,688.6
8/26/2020,637492,-0.044187462,1.08,3480.25,0.071311247,696.05
8/27/2020,1031257,0.883467973,0.14,3485.25,0.080429606,697.05
8/28/2020,713068,0.133859056,0.55,3504.5,0.115535285,700.9
8/31/2020,680344,0.056765875,-0.16,3499,0.105505091,699.8
9/1/2020,701143,0.105765419,0.8,3527,0.156567898,705.4
9/2/2020,924937,0.632992878,1.48,3579.25,0.251854743,715.85
9/3/2020,1908869,2.950999476,-3.29,3461.5,0.037117403,692.3
9/4/2020,1783626,2.655944431,-1.27,3417.5,-0.04312415,683.5
9/8/2020,2026634,3.228437395,-2.4,3335.5,-0.192665227,667.1
9/9/2020,1014612,0.844254674,1.94,3400.25,-0.074582487,680.05
9/10/2020,1337442,1.604797141,-1.76,3340.5,-0.183546869,668.1
9/11/2020,451061,-0.483392903,-0.2,3333.75,-0.195856653,666.75
9/14/2020,132567,-1.233720358,1.46,3382.5,-0.106952659,676.5
9/15/2020,77209,-1.364136088,0.67,3405.25,-0.065464128,681.05
9/16/2020,96782,-1.318024829,-0.46,3389.5,-0.094186957,677.9
9/17/2020,106003,-1.296301438,-0.83,3361.5,-0.145249764,672.3
9/18/2020,1072178,0.979872143,-0.24,3353.600098,-0.159656592,670.7200195
9/21/2020,1256851,1.414935982,-2.34,3275,-0.302997364,655
9/22/2020,946638,0.684117408,0.74,3299.25,-0.258773326,659.85
9/23/2020,1165489,1.199699849,-2.06,3231.25,-0.382782999,646.25
9/24/2020,1288513,1.489527239,0.21,3238,-0.370473216,647.6
9/25/2020,1030582,0.881877767,1.52,3287.25,-0.280657386,657.45
9/28/2020,809590,0.361251429,1.79,3346,-0.173516675,669.2
9/29/2020,729692,0.173022882,-0.37,3333.75,-0.195856653,666.75
9/30/2020,1140694,1.141286286,0.55,3352,-0.162574645,670.4
10/1/2020,937681,0.663015965,0.47,3367.75,-0.133851816,673.55
10/2/2020,1259792,1.421864568,-0.85,3339.25,-0.185826459,667.85
10/5/2020,641071,-0.035755837,1.61,3393,-0.087804106,678.6
10/6/2020,1150090,1.163421952,-1.17,3353.25,-0.160295055,670.65
10/7/2020,895709,0.564135785,1.6,3406.75,-0.062728621,681.35
10/8/2020,638300,-0.042283927,0.9,3437.5,-0.006650717,687.5
10/9/2020,571111,-0.200571843,1.04,3473.25,0.058545546,694.65
10/12/2020,726172,0.164730253,1.71,3532.75,0.16705401,706.55
10/13/2020,894785,0.56195897,-0.79,3504.75,0.115991203,700.95
10/14/2020,901013,0.57663127,-0.68,3481,0.072679001,696.2
10/15/2020,897971,0.569464742,-0.16,3475.5,0.062648807,695.1
10/16/2020,719766,0.14963861,-0.38,3462.25,0.038485157,692.45
10/19/2020,1027486,0.874584023,-1.14,3422.75,-0.033549874,684.55
10/20/2020,1078100,0.99382355,0.28,3432.25,-0.016224993,686.45
10/21/2020,1034105,0.890177464,0.01,3432.5,-0.015769075,686.5
10/22/2020,856913,0.472737819,0.49,3449.25,0.014777425,689.85
10/23/2020,773247,0.275632389,0.07,3451.75,0.019336605,690.35
10/26/2020,1270433,1.44693328,-1.69,3393.5,-0.08689227,678.7
10/27/2020,940467,0.669579393,-0.31,3383,-0.106040823,676.6
10/28/2020,1529943,2.058302655,-3.53,3263.5,-0.323969588,652.7
10/29/2020,1357129,1.651176967,1.19,3302.25,-0.253302311,660.45
10/30/2020,1733336,2.537468203,-1.14,3264.75,-0.321689998,652.95
11/2/2020,1313229,1.547754689,1.1,3300.5,-0.256493736,660.1
11/3/2020,1055224,0.939930883,1.85,3361.5,-0.145249764,672.3
11/4/2020,1504508,1.998381342,2.19,3435,-0.011209896,687
