Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,spindex_close_adjusted,spindex_volume_adjusted
2018-02-22,2710.419922,2731.26001,2697.77002,2703.959961,3701270000,0,0,1.19764381,0.323903833
2018-02-23,2715.800049,2747.76001,2713.73999,2747.300049,3189190000,0,0,1.251454705,-0.013544194
2018-02-26,2757.370117,2780.639893,2753.780029,2779.600098,3424650000,0,0,1.291558329,0.141618109
2018-02-27,2780.449951,2789.149902,2744.219971,2744.280029,3745080000,0,0,1.24770506,0.352773537
2018-02-28,2753.780029,2761.52002,2713.540039,2713.830078,4230660000,0,0,1.209898511,0.672758721
2018-03-01,2715.219971,2730.889893,2659.649902,2677.669922,4503970000,0,0,1.165002193,0.852863236
2018-03-02,2658.889893,2696.25,2647.320068,2691.25,3882450000,0,0,1.181863168,0.443296962
2018-03-05,2681.060059,2728.090088,2675.75,2720.939941,3710810000,0,0,1.218726091,0.330190456
2018-03-06,2730.179932,2732.080078,2711.26001,2728.120117,3370690000,0,0,1.227640971,0.106059807
2018-03-07,2710.179932,2730.600098,2701.73999,2726.800049,3393270000,0,0,1.22600198,0.120939467
2018-03-08,2732.75,2740.449951,2722.649902,2738.969971,3212320000,0,0,1.241112111,0.001697902
2018-03-09,2752.909912,2786.570068,2751.540039,2786.570068,3364100000,0,0,1.300212218,0.10171716
2018-03-12,2790.540039,2796.97998,2779.26001,2783.02002,3185020000,0,0,1.295804492,-0.016292121
2018-03-13,2792.310059,2801.899902,2758.679932,2765.310059,3301650000,0,0,1.273815868,0.060564158
2018-03-14,2774.060059,2777.110107,2744.379883,2749.47998,3391360000,0,0,1.2541613,0.119680825
2018-03-15,2754.27002,2763.030029,2741.469971,2747.330078,3500330000,0,0,1.251491989,0.191489353
2018-03-16,2750.570068,2761.850098,2749.969971,2752.01001,5372340000,0,0,1.257302576,1.425097542
2018-03-19,2741.379883,2741.379883,2694.590088,2712.919922,3302130000,0,0,1.208768465,0.060880466
2018-03-20,2715.050049,2724.219971,2710.050049,2716.939941,3261030000,0,0,1.213759706,0.033796585
2018-03-21,2714.98999,2739.139893,2709.790039,2711.929932,3415510000,0,0,1.207539297,0.135595076
2018-03-22,2691.360107,2695.679932,2641.590088,2643.689941,3739800000,0,0,1.122812771,0.349294148
2018-03-23,2646.709961,2657.669922,2585.889893,2588.26001,3815080000,0,0,1.05399117,0.398901802
2018-03-26,2619.350098,2661.360107,2601.810059,2658.550049,3511100000,0,0,1.141263028,0.198586517
2018-03-27,2667.570068,2674.780029,2596.120117,2612.620117,3706350000,0,0,1.084236591,0.327251427
2018-03-28,2611.300049,2632.649902,2593.060059,2605,3864500000,0,0,1.074775481,0.431468357
2018-03-29,2614.409912,2659.070068,2609.719971,2640.870117,3565990000,0,0,1.119311688,0.234757666
2018-04-02,2633.449951,2638.300049,2553.800049,2581.879883,3598520000,0,0,1.046069628,0.25619413
2018-04-03,2592.169922,2619.139893,2575.48999,2614.449951,3392810000,0,0,1.086508506,0.120636339
2018-04-04,2584.040039,2649.860107,2573.610107,2644.689941,3350340000,0,0,1.124054368,0.092649661
2018-04-05,2657.360107,2672.080078,2649.580078,2662.840088,3178970000,0,0,1.146589524,-0.020278921
2018-04-06,2645.820068,2656.879883,2586.27002,2604.469971,3299700000,0,0,1.074117399,0.059279157
2018-04-09,2617.179932,2653.550049,2610.790039,2613.159912,3062960000,0,0,1.084906798,-0.096726635
2018-04-10,2638.409912,2665.449951,2635.780029,2656.870117,3543930000,0,0,1.13917723,0.220220673
2018-04-11,2643.889893,2661.429932,2639.25,2642.189941,3020760000,0,0,1.120950377,-0.124535389
2018-04-12,2653.830078,2674.719971,2653.830078,2663.98999,3021320000,0,0,1.148017239,-0.124166363
2018-04-13,2676.899902,2680.26001,2645.050049,2656.300049,2960910000,0,0,1.138469436,-0.163975056
2018-04-16,2670.100098,2686.48999,2665.159912,2677.840088,3019700000,0,0,1.16521347,-0.125233903
2018-04-17,2692.73999,2713.340088,2692.050049,2706.389893,3234360000,0,0,1.200660804,0.016221716
2018-04-18,2710.110107,2717.48999,2703.629883,2708.639893,3383410000,0,0,1.203454396,0.114441972
2018-04-19,2701.159912,2702.840088,2681.899902,2693.129883,3349370000,0,0,1.184197224,0.092010455
2018-04-20,2692.560059,2693.939941,2660.610107,2670.139893,3388590000,0,0,1.155652936,0.117855463
2018-04-23,2675.399902,2682.860107,2657.98999,2670.290039,3017480000,0,0,1.155839357,-0.126696828
